,,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,,,,Per Game,Per Game,Per Game,Per Game
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P,FT%,MP,PS/G,TRB,AST
1,Bam Adebayo\adebaba01,01/10/18 MIA @ IND,20,2,89,1742,228,441,0,10,178,249,159,519,125,45,56,91,190,634,.517,.000,.715,19.6,7.1,5.8,1.4
2,Jarrett Allen\allenja01,01/1/18 BRK vs. ORL,19,2,91,1962,326,554,7,30,164,221,200,547,78,39,119,103,197,823,.588,.233,.742,21.6,9.0,6.0,0.9
3,Kadeem Allen\allenka01,01/31/18 BOS vs. NYK,25,1,18,107,6,22,0,11,7,9,4,11,12,3,2,9,15,19,.273,.000,.778,5.9,1.1,0.6,0.7
4,Ike Anigbogu\anigbik01,01/14/18 IND @ PHO,19,2,14,36,4,12,0,0,5,6,6,12,1,1,4,3,1,13,.333,,.833,2.6,0.9,0.9,0.1
5,OG Anunoby\anunoog01,01/1/18 TOR vs. MIL,20,2,90,1830,222,471,93,260,43,75,54,222,64,63,19,55,170,580,.471,.358,.573,20.3,6.4,2.5,0.7
6,Ryan Arcidiacono\arcidry01,01/20/18 CHI @ ATL,23,2,44,870,70,154,44,110,15,20,4,77,119,30,1,30,70,199,.455,.400,.750,19.8,4.5,1.8,2.7
7,Jamel Artis\artisja01,03/22/18 ORL vs. PHI,25,1,15,279,31,79,8,29,7,12,4,38,18,2,3,8,11,77,.392,.276,.583,18.6,5.1,2.5,1.2
8,Dwayne Bacon\bacondw01,01/17/18 CHO vs. WAS,22,2,65,883,104,256,20,61,30,37,6,149,48,19,2,30,66,258,.406,.328,.811,13.6,4.0,2.3,0.7
9,Lonzo Ball\balllo01,01/11/18 LAL vs. SAS,20,2,72,2312,267,721,118,375,40,85,87,471,466,108,47,171,159,692,.370,.315,.471,32.1,9.6,6.5,6.5
